"clave","clasificacion","descripcion","cultural"
"1322",Directores y gerentes en comunicación y telecomunicaciones,"Los directores y gerentes de servicios de telecomunicaciones planifican, dirigen y coordinan todo lo relacionado con los servicios que presta la empresa u organización.

Funciones:

• Planificar, dirigir y coordinar los servicios de la empresa u organización.
• Dirigir la selección, instalación, utilización y mantenimiento de los medios de telecomunicación, así como la adquisición de los servicios.
• Planificar las políticas generales de la empresa u organización y coordinar la búsqueda de alternativas y novedades de telecomunicación.
• Vigilar los gastos y asegurar la utilización racional de los recursos.
• Establecer y dirigir los procedimientos operativos y administrativos.
• Realizar otras funciones afines.

Ocupaciones:

• Administrador de televisión.
• Director de radiodifusora.
• Gerente de empresa de telefonía celular.
• Gerente de operaciones en telecomunicaciones.",1
"142","Directores y gerentes de museos, cines y otros establecimientos","Los trabajadores clasificados en este subgrupo se encargan de la dirección, coordinación y planeación de las actividades que se realizan en establecimientos, empresas, instituciones, negocios o áreas dedicados a la producción artística, o que ofrecen servicios de esparcimiento, como discotecas y cines, culturales como museos y teatros, y deportivas como gimnasios y centros deportivos. También en empresas dedicadas a los servicios personales como salones de belleza, estéticas, baños públicos,  tintorerías, lavado de coches, agencias funerarias, velatorios, etcétera.",1
"1421","Directores y productores artísticos de cine, teatro y afines","Las ocupaciones clasificadas en este grupo unitario planean, coordinan y dirigen las actividades relacionadas con la edición de libros, revistas, periódicos y similares; con la filmación de películas, el doblaje de voces y sonidos de series de televisión, películas cinematográficas, etc.; así como la filmación, transmisión y grabación de programas televisivos. Se clasifica además a quienes dirigen la representación de obras de teatro y temas musicales en programas de televisión y/o programas culturales en plazas públicas, palenques, ferias, etcétera.

Funciones:

• Planear actividades relacionadas con la filmación de una película de corto o largo metraje.
• Acordar con el productor, argumentista, actores y técnicos las características de la escenografía, sonido, vestuario, maquillaje, fotografía, etcétera.
• Dirigir tanto los ensayos de las escenas por filmar, como la filmación definitiva.
• Coordinar y supervisar al personal que dobla la voz de actores en películas y series que están en idioma extranjero o que así lo requieran.
• Planear con el productor y/o director de la obra teatral el tipo de fotografía y locaciones.
• Acordar con los especialistas y técnicos las peculiaridades de la escenografía, iluminación, vestuario, sonido, maquillaje, etcétera.
• Seleccionar y contratar al personal: actores, técnicos, especialistas, músicos, cantantes, etcétera.
• Dirigir orquestas, conjuntos musicales o coros de voces, para interpretar diversos tipos de piezas de música.
• Dirigir y coordinar las actividades relacionadas con la selección, corrección, impresión y distribución de libros, revistas, periódicos, boletines, artículos y similares.
• Realizar otras funciones afines.

Ocupaciones:

• Director y productor de arte, editorial, televisión, cine y teatro. 
• Administrador de grupo musical.
• Director de orquesta.",1
"217",Artistas interpretativos,"En este subgrupo se clasifica a los artistas que crean, dirigen e interpretan obras musicales; realizan arreglos y adaptaciones a las mismas y tocan uno o varios instrumentos musicales; a los que actúan y/o bailan en obras teatrales, de danza, cinematografía, en programas de televisión u otros espectáculos artísticos. También se clasifica aquí a los trabajadores que diseñan y dirigen la coreografía para la realización de eventos artísticos y culturales.",1
"172","Coordinadores y jefes de área en museos, cines y otros establecimientos","Este subgrupo reúne las ocupaciones que realizan funciones de planeación, organización y coordinación (y algunas veces supervisión) de personal subalterno que participa en la ejecución de actividades artísticas, en la prestación de servicios de esparcimiento como discotecas y cines, culturales como museos y teatros, y deportivas como gimnasios y centros deportivos.

Incluye: También incluye a encargados y coordinadores de personal que participa en actividades dedicadas a los servicios personales como salones de belleza, estéticas, baños públicos, tintorerías, lavado de coches, agencias funerarias, velatorios, etcétera.",1
"1721","Coordinadores y jefes de área en actividades artísticas, de cine, teatro y afines","Los trabajadores clasificados en este grupo unitario funciones de planeación, organización y coordinación de personal subalterno que participa en la elaboración y ejecución de actividades artísticas tales como la puesta en escena de obras de teatro, producción de programas televisivos, películas, etcétera.

Funciones:

• Programar, organizar y seleccionar artistas y personal en producciones teatrales, de televisión, radio, video y películas.
• Programar, organizar y seleccionar material durante las ediciones de libros, periódicos, revistas y similares.
• Representar y promover a artistas y deportistas ante posibles empresarios y productores  de espectáculos.
• Negociar contratos de prestación de servicios y de difusión de las obras y de los artistas.
• Realizar otras funciones afines.

Ocupaciones:

• Coordinador de bailarines.
• Jefe de producción de televisora.
• Representante y promotor artístico y deportivo.

Incluye: A los representantes de artistas y deportistas.",1
"1722","Coordinadores y jefes de área en museos, cines, deportivos y servicios culturales","Los trabajadores clasificados en este grupo unitario realizan funciones de planeación, organización y coordinación de personal subalterno que participa en la prestación de servicios culturales de esparcimiento en museos, bibliotecas, teatros, cines, zoológicos, servicios turísticos, etcétera. 

Funciones:

• Planear y coordinar las actividades de personal subalterno, en la prestación de servicios culturales en bibliotecas, museos, casas de cultura, cines, teatros, etcétera.
• Supervisar que la prestación de los servicios turísticos se den bajo las normas y lineamientos establecidos.
• Revisar de forma sistemática la ejecución del trabajo del personal a su cargo.
• Elaborar reportes sobre la situación de los servicios prestados y proponer mejoras.
• Realizar otras funciones afines.

Ocupaciones:

• Coordinador de cultura y deporte.
• Coordinador de eventos sociales.Jefe de biblioteca.",1
"2131","Antropólogos, arqueólogos e historiadores","Las ocupaciones clasificadas en este grupo unitario investigan, analizan, registran e interpretan datos históricos indagando en fuentes diversas tales como documentos oficiales, registros institucionales, periódicos, revistas, fotografías, entrevistas, películas y manuscritos no publicados como diarios personales y cartas, entre otros.

Funciones:

• Reunir, analizar y reportar información sobre datos físicos, costumbres sociales y artefactos del ser humano, tales como: herramientas, cerámica y vestimenta.
• Observar y medir variaciones corporales y atributos físicos de razas humanas existentes.
• Estudiar culturas, en particular sociedades no occidentales o preindustriales, incluyendo religión, economía, creencias y tradiciones, así como la vida artística e intelectual.
• Estudiar adaptaciones físicas y fisiológicas a diferentes ambientes y características hereditarias de las poblaciones existentes.
• Estudiar colecciones de esqueletos y fósiles humanos para determinar su significado en términos de la evolución humana a largo plazo.
• Estudiar, clasificar y analizar artefactos u objetos respecto de rasgos arquitectónicos y diferentes tipos de estructuras recuperadas en excavaciones a fin de determinar la edad e identidad cultural.
• Establecer la secuencia cronológica del desarrollo de cada cultura en niveles que van desde el más simple hasta el más avanzado.
• Realizar investigaciones históricas sobre temas de importancia para la sociedad; presentan hallazgos y teorías en libros, periódicos y otras publicaciones.
• Reunir datos históricos mediante la consulta de fuentes, como archivos, registros judiciales, diarios, archivos de noticias, entre otros diversos materiales publicados e inéditos.
• Analizar el desarrollo histórico en campos como la economía, sociología o filosofía.
• Revisar publicaciones y exhibiciones preparadas por otras personas antes de su lanzamiento al público a fin de garantizar la precisión histórica de las exposiciones.
• Consultar a expertos o testigos sobre acontecimientos y hechos históricos.
• Realizar otras funciones afines. 

Ocupaciones:

• Antropólogo, arqueólogo y paleontólogo.
• Historiador.
• Perito de antropología forense.

Incluye: A los especialistas que estudian el origen, desarrollo y comportamiento de los seres humanos; el modo de vida, el lenguaje y las características físicas de las culturas que existen en diversas partes del mundo. Pueden dedicarse a la recuperación y examen sistemáticos de restos materiales, tales como herramientas o alfarería de culturas humanas antiguas, a fin de determinar la historia, costumbres y hábitos de vida de civilizaciones anteriores.",1
"214",Investigadores y especialistas en ciencias humanistas,"En este subgrupo se clasifican a los investigadores y especialistas en ciencias humanistas que elaboran estudios, proyectos, programas e investigaciones y brindan asesoría sobre temas relacionados con el comportamiento humano, el conocimiento y la cultura; como son los psicólogos, trabajadores sociales,  filósofos, especialistas en lenguas y culturas, y los teólogos y ministros de cultos.",1
"2144","Especialistas en archivonomía, biblioteconomía y museografía","Las ocupaciones clasificadas en este grupo unitario se encargan de investigar, estudiar y evaluar obras de diversa índole de interés histórico, cultural o artístico a fin de incorporarlas en colecciones existentes o en nuevas y garantizar su preservación en condiciones seguras; organizar tales colecciones y exhibirlas en museos e instituciones y establecimientos similares; ampliar y conservar colecciones sistemáticas de obras publicadas, grabaciones sonoras y películas y ponerlas a disposición de los usuarios en las bibliotecas, archivos y otras instituciones similares.

Funciones:

• Organizar, ampliar y conservar sistemáticamente colecciones de libros, revistas, informes y otras obras disponibles en forma impresa o en forma audiovisual.
• Ordenar y clasificar libros, documentos y objetos en bibliotecas, museos o centros de documentación, para su fácil localización.
• Organizar y administrar servicios de préstamo y redes de información a disposición de los usuarios.
• Decidir la distribución de muebles y estantería, cuidando las condiciones de humedad, luz, asepsia (limpieza de microbios) y temperatura.

• Proteger los libros y documentos de la humedad, roedores, etcétera.
• Recomendar y asesorar a los usuarios para localizar datos e información que requieran.
• Dirigir o efectuar la clasificación y catalogación de las colecciones existentes en museos y galerías de arte, y organizar exposiciones.
• Organizar, ampliar y conservar colecciones de interés o valor artístico, cultural, científico o histórico en museos o galerías de arte.
• Realizar otras funciones afines. 

Ocupaciones:

• Bibliotecónomo. 
• Archivónomo. 
• Museógrafo.",1
