folioviv,foliohog,numren,ambito,sinco,factor_w,_insegalim_modsev_proxy,_insegalim_severa_proxy
0100006403,1,01,urbano,2271,193,0,0
0100010902,1,01,urbano,5212,194,0,0
0100012004,1,01,urbano,2712,191,1,0
0100013801,1,01,urbano,2271,183,0,0
0100014206,1,01,urbano,2553,203,0,0
0100026706,1,01,urbano,9713,193,0,0
0100028006,1,01,urbano,2271,331,0,0
0100031404,1,01,urbano,5212,197,1,1
0100038501,1,01,urbano,2271,177,0,0
0100049904,1,01,urbano,1422,162,0,0
0100049905,1,01,urbano,2271,162,1,0
0100062901,1,01,urbano,2271,179,0,0
0100062902,1,01,urbano,2271,179,0,0
0100064201,1,01,urbano,2271,202,0,0
0100074304,1,01,urbano,1421,208,0,0
0100084202,1,01,urbano,2271,187,0,0
0100085306,1,01,urbano,2712,171,0,0
0100088706,1,01,urbano,2271,266,0,0
0100089401,1,01,urbano,2551,223,0,0
0100091906,1,01,urbano,2172,191,0,0
0100118506,1,01,urbano,2162,240,0,0
0100121804,1,01,urbano,7322,199,0,0
0100127605,1,01,urbano,2172,207,0,0
0100129002,1,01,urbano,2162,233,0,0
0100129003,1,01,urbano,2544,233,0,0
0100141605,1,01,urbano,2173,206,0,0
0100157003,1,01,urbano,2152,204,0,0
0100160502,1,01,urbano,2271,217,0,0
0100164603,1,01,urbano,3222,218,0,0
0100180006,1,01,urbano,2712,198,0,0
0100181305,1,01,urbano,2543,173,0,0
0100182506,1,01,urbano,2172,209,0,0
0100183703,1,01,urbano,7342,178,0,0
0100188704,1,01,urbano,2271,234,0,0
0100192502,1,01,urbano,7201,203,0,0
0100197601,1,01,urbano,2271,228,1,0
0100197606,1,01,urbano,2271,228,0,0
0100201301,1,01,urbano,2162,162,0,0
0100203306,1,01,urbano,2271,199,0,0
0100217402,1,01,urbano,2271,238,0,0
0100218603,1,01,urbano,2271,167,0,0
0100224805,1,01,urbano,5212,187,1,0
0100236201,1,01,urbano,2172,224,0,0
0100236205,1,01,urbano,5212,224,0,0
0100249502,1,01,urbano,7301,174,0,0
0100259715,1,01,urbano,3222,126,0,0
0100259717,1,01,urbano,2172,126,0,0
0100276905,1,01,urbano,2542,203,0,0
0100282001,1,01,urbano,2173,264,0,0
0100283303,1,01,urbano,2271,443,0,0
0100284603,1,01,urbano,2161,232,0,0
0100284604,1,01,urbano,5212,232,1,0
0100298303,1,01,urbano,5212,147,0,0
0100298919,1,01,urbano,5212,147,0,0
0160308202,1,01,rural,2172,43,0,0
0160308205,1,01,rural,2172,43,1,1
0160311202,1,01,rural,7332,51,0,0
0160321021,1,01,rural,5212,54,0,0
0160324924,1,01,rural,8144,53,0,0
0160326716,1,01,rural,7343,53,0,0
0160326921,1,01,rural,7343,53,0,0
0160330717,1,01,rural,2173,53,0,0
0160332818,1,01,rural,2172,41,0,0
0160333410,1,01,rural,2172,48,0,0
0160333713,1,01,rural,1721,48,0,0
0160333921,1,01,rural,2172,48,0,0
0160335411,1,01,rural,5212,64,0,0
0160338507,1,01,rural,2172,50,0,0
0160341206,1,01,rural,2172,52,0,0
0160344816,1,01,rural,2552,49,0,0
0200355904,1,01,urbano,2625,366,0,0
0200358206,1,01,urbano,8144,621,0,0
0200359203,1,01,urbano,8144,512,0,0
0200365504,1,01,urbano,2162,681,0,0
0200372402,1,01,urbano,2271,657,0,0
0200380803,1,01,urbano,2552,499,0,0
0200402706,1,01,urbano,7322,757,0,0
0200407202,1,01,urbano,2271,694,0,0
0200411606,1,01,urbano,7401,635,0,0
0200413601,1,01,urbano,1322,719,0,0
0200415005,1,01,urbano,2271,644,0,0
0200418802,1,01,urbano,5212,697,0,0
0200440702,1,01,urbano,2172,777,0,0
0200451203,1,01,urbano,4312,741,0,0
0200501204,1,01,urbano,2271,671,0,0
0200537202,1,01,urbano,2173,480,0,0
0200542605,1,01,urbano,7301,581,0,0
0200561605,1,01,urbano,7322,577,0,0
0200575201,1,01,urbano,2712,801,0,0
0200589304,1,01,urbano,2271,831,0,0
0200593703,1,01,urbano,2553,789,0,0
0200609206,1,01,urbano,7342,623,0,0
0200617504,1,01,urbano,7999,558,0,0
0200618303,1,01,urbano,2271,719,0,0
0200627904,1,01,urbano,2655,540,0,0
0200630201,1,01,urbano,2636,640,0,0
0200650401,1,01,urbano,7322,646,0,0
0200653602,1,01,urbano,2542,267,0,0
0200654803,1,01,urbano,7353,478,0,0
0200656004,1,01,urbano,5212,685,0,0
0200660501,1,01,urbano,5212,556,0,0
0260706818,1,01,rural,2271,28,0,0
0260713815,1,01,rural,5212,38,0,0
0260717412,1,01,rural,2173,33,0,0
0260719716,1,01,rural,2551,41,0,0
0260720919,1,01,rural,7401,36,0,0
0260740201,1,01,rural,4312,33,0,0
0260745816,1,01,rural,4312,28,0,0
0260752303,2,01,rural,2173,30,0,0
0260754020,1,01,rural,2173,34,0,0
0260759823,1,01,rural,9713,19,0,0
0260770508,1,01,rural,7611,43,0,0
0260773818,1,01,rural,1422,22,0,0
0260794411,1,01,rural,2271,26,0,0
0260802714,1,01,rural,4312,28,0,0
0300804717,1,01,urbano,2144,114,0,0
0300806510,1,01,urbano,2543,125,0,0
0300812205,1,01,urbano,2152,105,0,0
0300813713,1,01,urbano,2271,111,0,0
0300816922,1,01,urbano,3222,91,1,1
0300851806,1,01,urbano,5212,139,1,0
0300867801,1,01,urbano,2271,135,0,0
0300867801,1,01,urbano,2271,135,0,0
0300872706,1,01,urbano,7343,160,0,0
0300879004,1,01,urbano,7322,128,0,0
0300883905,1,01,urbano,7321,138,0,0
0300894501,1,01,urbano,2543,120,0,0
0300902502,1,01,urbano,5212,134,0,0
0300917506,1,01,urbano,4312,121,0,0
0300926402,1,01,urbano,1722,102,0,0
0300927002,1,01,urbano,3222,119,0,0
0300933301,1,01,urbano,2543,125,0,0
0300933305,1,01,urbano,7223,125,0,0
0300943403,1,01,urbano,2172,129,0,0
0300954802,1,01,urbano,2655,217,0,0
0300963701,1,01,urbano,7321,138,1,0
0300974704,1,01,urbano,2172,194,0,0
0300975306,1,01,urbano,2552,185,0,0
0300976906,1,01,urbano,2544,197,0,0
0300979205,1,01,urbano,2552,177,0,0
0300989704,1,01,urbano,2271,117,0,0
0300999605,1,01,urbano,1422,176,0,0
0301012701,1,01,urbano,1422,169,0,0
0301025001,1,01,urbano,7999,131,0,0
0301030205,1,01,urbano,3222,148,0,0
0301031201,1,01,urbano,7342,159,0,0
0301059502,1,01,urbano,2542,143,0,0
0301077206,1,01,urbano,5212,217,0,0
0301078903,1,01,urbano,3222,229,0,0
0301083904,1,01,urbano,4312,164,0,0
0301086404,1,01,urbano,2655,191,0,0
0301090802,1,01,urbano,2655,175,0,0
0301091906,1,01,urbano,2172,154,0,0
0301093404,1,01,urbano,3222,161,1,0
0301094601,1,01,urbano,2544,150,0,0
0301096006,1,01,urbano,2655,167,0,0
0301106203,1,01,urbano,5212,152,0,0
0301106206,1,01,urbano,3222,152,0,0
0301106206,2,01,urbano,3222,152,0,0
0301106206,4,01,urbano,3222,152,0,0
0301108402,1,01,urbano,2544,171,0,0
0301109605,1,01,urbano,2172,244,0,0
0301111806,1,01,urbano,5212,206,0,0
0361114922,1,01,rural,7313,26,0,0
0361118202,1,01,rural,5212,26,0,0
0361120512,1,01,rural,7353,23,0,0
0361132919,1,01,rural,2161,27,0,0
