folioviv,foliohog,numren,ambito,sinco,factor_w,tam_hogar,dependientes,ingreso_pc_mensual,linea_pobreza,linea_pobreza_extrema,_bajo_lp,_bajo_lpei
0100006403,1,01,urbano,2271,193,5,4,22330.194,4660.52,2366.33,0.0,0.0
0100010902,1,01,urbano,5212,194,5,4,17262.102,4660.52,2366.33,0.0,0.0
0100012004,1,01,urbano,2712,191,5,4,15084.422,4660.52,2366.33,0.0,0.0
0100013801,1,01,urbano,2271,183,2,1,83408.05,4660.52,2366.33,0.0,0.0
0100014206,1,01,urbano,2553,203,5,4,7513.610000000001,4660.52,2366.33,0.0,0.0
0100026706,1,01,urbano,9713,193,4,3,19567.6125,4660.52,2366.33,0.0,0.0
0100028006,1,01,urbano,2271,331,3,2,32608.690000000002,4660.52,2366.33,0.0,0.0
0100031404,1,01,urbano,5212,197,5,4,14178.782000000001,4660.52,2366.33,0.0,0.0
0100038501,1,01,urbano,2271,177,3,2,20768.163333333334,4660.52,2366.33,0.0,0.0
0100049904,1,01,urbano,1422,162,2,1,29040.14,4660.52,2366.33,0.0,0.0
0100049905,1,01,urbano,2271,162,3,2,43938.78333333333,4660.52,2366.33,0.0,0.0
0100062901,1,01,urbano,2271,179,1,0,64994.36,4660.52,2366.33,0.0,0.0
0100062902,1,01,urbano,2271,179,3,2,18097.816666666666,4660.52,2366.33,0.0,0.0
0100064201,1,01,urbano,2271,202,3,2,25674.703333333335,4660.52,2366.33,0.0,0.0
0100074304,1,01,urbano,1421,208,3,2,75815.20666666667,4660.52,2366.33,0.0,0.0
0100084202,1,01,urbano,2271,187,2,1,79392.835,4660.52,2366.33,0.0,0.0
0100085306,1,01,urbano,2712,171,1,0,22989.12,4660.52,2366.33,0.0,0.0
0100088706,1,01,urbano,2271,266,1,0,101269.25,4660.52,2366.33,0.0,0.0
0100089401,1,01,urbano,2551,223,3,2,77119.56333333334,4660.52,2366.33,0.0,0.0
0100091906,1,01,urbano,2172,191,4,3,11485.4725,4660.52,2366.33,0.0,0.0
0100118506,1,01,urbano,2162,240,1,0,62914.41,4660.52,2366.33,0.0,0.0
0100121804,1,01,urbano,7322,199,4,3,39083.6,4660.52,2366.33,0.0,0.0
0100127605,1,01,urbano,2172,207,1,0,53114.74,4660.52,2366.33,0.0,0.0
0100129002,1,01,urbano,2162,233,1,0,60399.7,4660.52,2366.33,0.0,0.0
0100129003,1,01,urbano,2544,233,2,1,59303.11,4660.52,2366.33,0.0,0.0
0100141605,1,01,urbano,2173,206,1,0,71360.64,4660.52,2366.33,0.0,0.0
0100157003,1,01,urbano,2152,204,1,0,75767.25,4660.52,2366.33,0.0,0.0
0100160502,1,01,urbano,2271,217,1,0,62853.25,4660.52,2366.33,0.0,0.0
0100164603,1,01,urbano,3222,218,1,0,39777.04,4660.52,2366.33,0.0,0.0
